name,road,district,province
Bangkok Yai Police Station,New Arun Amarin Rd,Bangkok Yai,Bangkok
Chorakhe Noi Police Station,Luang Phaeng Rd,Lat Krabang,Bangkok
Lamhin Police Station,Khu Khlong Sip Rd,Nong Chok,Bangkok
Bang Pho Police Station,Pracharat Sai 1 Rd,Bang Sue,Bangkok
Nong Khang Phlu Police Station,,Nong Khaem,Bangkok
Talingchan Police Station,Borom Rachachonnanee Rd,Taling Chan,Bangkok
Chanasongkram Police Station,Chakkraphong Rd,Phra Nakhon,Bangkok
Laksong Police Station,"Soi 98, Petchkasem Rd",Bang Khae,Bangkok
Nongchok Police Station,Sakun Di Rd,Nong Chok,Bangkok
Bangmod Police Station,"Soi 40, Rama 2 Rd",Chom Thong,Bangkok
Patrol Division,Kamphaeng Phet 6 Rd,Chatuchak,Bangkok
Udomsuk Police Station,,Prawet,Bangkok
Saimai Police Station,"Soi 6, Saimai Rd",Sai Mai,Bangkok
Sala Daeng Police Station,Liapkhlong Thawiwatthana Rd,Bang Khae,Bangkok
Tha Phra Police Station,Charansanitwong Rd,Bangkok Yai,Bangkok
Tha Ruea Police Station,Atnarong Rd,Khlong Toei,Bangkok
Viphavadi Police Station,Wiphawadi-Rangsit Rd,Chatuchak,Bangkok
Thanyaburi Police Station,Rangsit-Nakorn Nayo Rd,Thanyaburi,Pathum Thani
Tourist Police - Wat Arun,Arun Amarin Rd,Bangkok Yai,Bangkok
Samsen Police Station,Samsen Rd,Dusit,Bangkok
Somdejchaopraya Police Station,Lardya Rd,Khlong San,Bangkok
Makkasan Police Station,Kamphaeng Phet 7 Rd,Huai Khwang,Bangkok
Bang Phlat Police Station,Charansanitwong Rd,Bang Phlat,Bangkok
Bowon Mongkol Police Station,Charansanitwong Rd,Bang Phlat,Bangkok
Thakham Police Station,Tha Kham Rd,Bang Khun Thian,Bangkok
Kokram Police Station,Nuan Chan Rd,Bueng Kum,Bangkok
Rat Burana Police Station,"Soi 17, Rat Burana Rd",Rat Burana,Bangkok
Anti Human Trafficking Division,Phahonyothin Rd,Chatuchak,Bangkok
Plabplachai 1 Police Station,Phlapphlachai Rd,Pom Prap Sattru Phai,Bangkok
Bang Yi Khan Police Station,Phra Pinklao Rd,Bang Phlat,Bangkok
Bangsue Police Station,Phahonyothin Rd,Phaya Thai,Bangkok
Samaedam Police Station,Rama 2 Rd,Bang Bon,Bangkok
